study_id,title,year,journal,pmid,pmcid,doi,intervention_name,endpoint_family,outcome_name,outcome_timepoint,effect_metric,effect_direction_beneficial,n_treatment,n_control,mean_treatment,sd_treatment,mean_control,sd_control,change_mean_treatment,change_sd_treatment,change_mean_control,change_sd_control,events_treatment,events_control,time_to_event_metric,log_effect,se_log_effect,ci_lower,ci_upper,p_value,extractor_method,source_used,source_locator,verification_status,duplicate_cohort_flag,risk_of_bias_overall,ready_for_pooling,notes,effect_estimate,effect_se
39024000,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,2024,J Med Internet Res,39024000,,10.2196/59468,exercise,frailty_function,SOF frailty index,12_weeks_post_intervention,hedges_g_post_intervention,higher_or_lower_depends_on_scale,30,30,0.8,0.85,0.8,0.81,,,,,,,,,,,,.007,manual_pdf_table_extraction,publisher_pdf,https://www.jmir.org/2024/1/e59468/PDF,exact_table_values_extracted,no,some_concern,yes,End-of-intervention means and SDs extracted from Table 2. Group sizes were 30 versus 30 randomized; ITT analysis with last-observation-carried-forward reported in the source. Lower score favorable,0.0,0.2581988897471611
39024000,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,2024,J Med Internet Res,39024000,,10.2196/59468,exercise,frailty_function,Appendicular skeletal muscle mass,12_weeks_post_intervention,hedges_g_post_intervention,higher_or_lower_depends_on_scale,30,30,19.13,4.58,16.96,2.4,,,,,,,,,,,,.002,manual_pdf_table_extraction,publisher_pdf,https://www.jmir.org/2024/1/e59468/PDF,exact_table_values_extracted,no,some_concern,yes,End-of-intervention means and SDs extracted from Table 2. Group sizes were 30 versus 30 randomized; ITT analysis with last-observation-carried-forward reported in the source. Higher score favorable,0.5857956384027149,0.26386533045229354
39024000,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,2024,J Med Internet Res,39024000,,10.2196/59468,exercise,frailty_function,Appendicular skeletal muscle mass index,12_weeks_post_intervention,hedges_g_post_intervention,higher_or_lower_depends_on_scale,30,30,8.15,1.77,7.15,0.84,,,,,,,,,,,,.003,manual_pdf_table_extraction,publisher_pdf,https://www.jmir.org/2024/1/e59468/PDF,exact_table_values_extracted,no,some_concern,yes,End-of-intervention means and SDs extracted from Table 2. Group sizes were 30 versus 30 randomized; ITT analysis with last-observation-carried-forward reported in the source. Higher score favorable,0.7124544320299063,0.2665379032865357
39024000,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,2024,J Med Internet Res,39024000,,10.2196/59468,exercise,frailty_function,Dominant handgrip strength,12_weeks_post_intervention,hedges_g_post_intervention,higher_or_lower_depends_on_scale,30,30,20.8,7.59,16.2,6.04,,,,,,,,,,,,.01,manual_pdf_table_extraction,publisher_pdf,https://www.jmir.org/2024/1/e59468/PDF,exact_table_values_extracted,no,some_concern,yes,End-of-intervention means and SDs extracted from Table 2. Group sizes were 30 versus 30 randomized; ITT analysis with last-observation-carried-forward reported in the source. Higher score favorable,0.6619491894544025,0.26541298435666116
39024000,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,2024,J Med Internet Res,39024000,,10.2196/59468,exercise,frailty_function,Walking speed,12_weeks_post_intervention,hedges_g_post_intervention,higher_or_lower_depends_on_scale,30,30,0.53,0.33,0.53,0.27,,,,,,,,,,,,<.001,manual_pdf_table_extraction,publisher_pdf,https://www.jmir.org/2024/1/e59468/PDF,exact_table_values_extracted,no,some_concern,yes,End-of-intervention means and SDs extracted from Table 2. Group sizes were 30 versus 30 randomized; ITT analysis with last-observation-carried-forward reported in the source. Higher score favorable,0.0,0.2581988897471611
ms_frailty_pilot_2026,Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,2026,PLoS One,41984883,,10.1371/journal.pone.0347063,exercise,frailty_function,Edmonton Frail Scale index performance score,6_weeks_change_from_baseline,mean_difference_change,Lower score favorable,10,6,,,,,,,,,,,,,,-0.14,0.0,,manual_text_extraction_from_verified_snippet,verified_open_text_snippet,results/tables/effect_size_extraction_priority_human.csv,between_group_change_with_ci_extracted,no,some_concern,yes,Between-group difference in baseline-to-6-week change extracted from verified text snippet. Sixteen participants were randomized; ten intervention and six control participants completed the study.,-0.07,0.03571428571428572
ms_frailty_pilot_2026,Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,2026,PLoS One,41984883,,10.1371/journal.pone.0347063,exercise,frailty_function,MSQoL-54 mental health,6_weeks_change_from_baseline,mean_difference_change,Higher score favorable,10,6,,,,,,,,,,,,,,7.32,35.16,,manual_text_extraction_from_verified_snippet,verified_open_text_snippet,results/tables/effect_size_extraction_priority_human.csv,between_group_change_with_ci_extracted,no,some_concern,yes,Between-group difference in baseline-to-6-week change extracted from verified text snippet. Sixteen participants were randomized; ten intervention and six control participants completed the study.,21.24,7.10204081632653
38424099,Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,2024,Nature Communications,38424099,PMC10904794,10.1038/s41467-024-46116-y,microbiome,frailty_function,Chair rise time,12_weeks_model_estimate,beta_difference,Lower time favorable,36,36,,,,,,,,,,,,,,-1.08,2.239,0.494,manual_pubmed_xml_abstract_extraction,pubmed_xml,data_processed/open_text_cache/pubmed_38424099.xml,abstract_level_model_estimate_extracted,no,some_concern,yes,Regression estimate and 95% CI extracted from the PubMed XML abstract. The abstract reports 36 twin pairs (72 individuals) randomized in a placebo-controlled trial.,0.579,0.8466836734693878
38424099,Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,2024,Nature Communications,38424099,PMC10904794,10.1038/s41467-024-46116-y,microbiome,cognition,Cognitive factor score,12_weeks_model_estimate,beta_difference,Direction depends on model coding; extracted as reported,36,36,,,,,,,,,,,,,,-0.813,-0.141,0.014,manual_pubmed_xml_abstract_extraction,pubmed_xml,data_processed/open_text_cache/pubmed_38424099.xml,abstract_level_model_estimate_extracted,no,some_concern,yes,Regression estimate and 95% CI extracted from the PubMed XML abstract. The abstract reports 36 twin pairs (72 individuals) randomized in a placebo-controlled trial.,-0.482,0.1714285714285714
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC PhenoAge,12_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128,69,,,,,,,,,,,,,,-0.19,0.12,P > 0.50,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.03,0.07908163265306123
